country,url,advisory_level,country_standardized,advisory_label
Syria,https://www.ireland.ie/en/dfa/overseas-travel/advice/syria/,4.0,Syria,Do Not Travel
Taiwan,https://www.ireland.ie/en/dfa/overseas-travel/advice/taiwan/,1.0,Taiwan,Normal Precautions
Tajikistan,https://www.ireland.ie/en/dfa/overseas-travel/advice/tajikistan/,2.0,Tajikistan,High Degree of Caution
Tanzania,https://www.ireland.ie/en/dfa/overseas-travel/advice/tanzania/,2.0,Tanzania,High Degree of Caution
Thailand,https://www.ireland.ie/en/dfa/overseas-travel/advice/thailand/,1.0,Thailand,Normal Precautions
Timor Leste,https://www.ireland.ie/en/dfa/overseas-travel/advice/timor-leste/,2.0,Timor Leste,High Degree of Caution
Togo,https://www.ireland.ie/en/dfa/overseas-travel/advice/togo/,2.0,Togo,High Degree of Caution
Tonga,https://www.ireland.ie/en/dfa/overseas-travel/advice/tonga/,1.0,Tonga,Normal Precautions
Trinidad And Tobago,https://www.ireland.ie/en/dfa/overseas-travel/advice/trinidad-and-tobago/,2.0,Trinidad And Tobago,High Degree of Caution
Tunisia,https://www.ireland.ie/en/dfa/overseas-travel/advice/tunisia/,4.0,Tunisia,Do Not Travel
Turkmenistan,https://www.ireland.ie/en/dfa/overseas-travel/advice/turkmenistan/,2.0,Turkmenistan,High Degree of Caution
Turks And Caicos Islands,https://www.ireland.ie/en/dfa/overseas-travel/advice/turks-and-caicos-islands/,1.0,Turks And Caicos Islands,Normal Precautions
Tuvalu,https://www.ireland.ie/en/dfa/overseas-travel/advice/tuvalu/,1.0,Tuvalu,Normal Precautions
Uganda,https://www.ireland.ie/en/dfa/overseas-travel/advice/uganda/,4.0,Uganda,Do Not Travel
Ukraine,https://www.ireland.ie/en/dfa/overseas-travel/advice/ukraine/,4.0,Ukraine,Do Not Travel
United Arab Emirates,https://www.ireland.ie/en/dfa/overseas-travel/advice/united-arab-emirates/,2.0,United Arab Emirates,High Degree of Caution
Uruguay,https://www.ireland.ie/en/dfa/overseas-travel/advice/uruguay/,1.0,Uruguay,Normal Precautions
Uzbekistan,https://www.ireland.ie/en/dfa/overseas-travel/advice/uzbekistan/,2.0,Uzbekistan,High Degree of Caution
Vanuatu,https://www.ireland.ie/en/dfa/overseas-travel/advice/vanuatu/,1.0,Vanuatu,Normal Precautions
Venezuela,https://www.ireland.ie/en/dfa/overseas-travel/advice/venezuela/,4.0,Venezuela,Do Not Travel
Vietnam,https://www.ireland.ie/en/dfa/overseas-travel/advice/vietnam/,2.0,Vietnam,High Degree of Caution
Virgin Islands Uk,https://www.ireland.ie/en/dfa/overseas-travel/advice/virgin-islands-uk/,1.0,Virgin Islands Uk,Normal Precautions
Virgin Islands Us,https://www.ireland.ie/en/dfa/overseas-travel/advice/virgin-islands-us/,1.0,Virgin Islands Us,Normal Precautions
Yemen,https://www.ireland.ie/en/dfa/overseas-travel/advice/yemen/,4.0,Yemen,Do Not Travel
Zambia,https://www.ireland.ie/en/dfa/overseas-travel/advice/zambia/,2.0,Zambia,High Degree of Caution
Zimbabwe,https://www.ireland.ie/en/dfa/overseas-travel/advice/zimbabwe/,3.0,Zimbabwe,Avoid Unnecessary Travel
